"%s - %s","%s - %s"
"AJAX Status","AJAX Status"
Appearance,Appearance
"Attribute Option Sorting","Attribute Option Sorting"
"Attribute Sorting","Attribute Sorting"
"Attributes beyond the number specified will be hidden until user clicks to show them. Set 0 to never hide attributes. If attribute sorting is enabled, selected attributes will not be hidden.","Attributes beyond the number specified will be hidden until user clicks to show them. Set 0 to never hide attributes. If attribute sorting is enabled, selected attributes will not be hidden."
"Attributes box beyond this height will use scrollbars. Set to 0 to have no height constraint","Attributes box beyond this height will use scrollbars. Set to 0 to have no height constraint"
"Attributes with selected options will appear before other attributes.","Attributes with selected options will appear before other attributes."
Behavior,Behavior
Breadcrumbs,Breadcrumbs
"Browse Status","Browse Status"
"Categories Filter","Categories Filter"
"Category Reset Filters","Category Reset Filters"
"Clear All","Clear All"
Configuration,Configuration
Default,Default
"Disable to turn off all AJAX","Disable to turn off all AJAX"
"Enable this to prevent ""duplicate content"" penalties for search engines. This will require customers to have javascript enabled to use filters","Enable this to prevent ""duplicate content"" penalties for search engines. This will require customers to have javascript enabled to use filters"
"Enable this to show filter options that have 0 matching products. Disabling this will use the per attribute setting","Enable this to show filter options that have 0 matching products. Disabling this will use the per attribute setting"
"Enable this to show the price filter directly after the category list no matter the original order of attributes","Enable this to show the price filter directly after the category list no matter the original order of attributes"
"Enable when browsing products","Enable when browsing products"
"Enable when searching products","Enable when searching products"
Extendware,Extendware
"Filters that do not have at least this number of options will be hidden","Filters that do not have at least this number of options will be hidden"
From,From
General,General
Go,Go
Input,Input
"Layered Navigation","Layered Navigation"
Main,Main
"Max Attribute Options","Max Attribute Options"
"Max Attributes","Max Attributes"
"Maximum Height (px)","Maximum Height (px)"
"Minimum Filter Options","Minimum Filter Options"
None,None
"Options beyond the number specified will be hidden until user clicks to show them. Set 0 to never hide options. Selected options will never be hidden.","Options beyond the number specified will be hidden until user clicks to show them. Set 0 to never hide options. Selected options will never be hidden."
"Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs.","Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs."
"Please refresh the page and try again.","Please refresh the page and try again."
"Price Filter","Price Filter"
Range:,Entre:
Relevance,Relevance
"Remove Links","Remove Links"
"Remove This Item","Remove This Item"
"Reset filters when selecting a new category","Reset filters when selecting a new category"
"Search Status","Search Status"
"Selected attribute options will appear first in the option list.","Selected attribute options will appear first in the option list."
Settings,Settings
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Show Empty Filter Options","Show Empty Filter Options"
"Show Less","Ver menos"
"Show Less Attributes","Ver menos atributos"
"Show More","Ver más"
"Show More Attributes","Ver más atributos"
"Show Price Filter First","Show Price Filter First"
Slider,Slider
"There was an error. Please refresh the page and try again.","There was an error. Please refresh the page and try again."
To,To
