price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description
0,0,﻿59900,215952,215952,5,5,"ESCRITORIO "PAU" BLANCO",5,100,"Escritorios",http://www.mueblessur.cl/307-2083-thickbox/escritoriopauestrucmetalicacubvidrioblanco.jpg,http://www.mueblessur.cl/307-2083-thickbox/escritoriopauestrucmetalicacubvidrioblanco.jpg,http://www.mueblessur.cl/307-2083-thickbox/escritoriopauestrucmetalicacubvidrioblanco.jpg,,1,IVA,4,"Cubierta de vidrio templado color blanco, estructura metalica pintada blanca.<br><br>Medidas: 110 x 60 x alt. 73 cms.","Cubierta de vidrio templado color blanco, estructura metalica pintada blanca.<br><br>Medidas: 110 x 60 x alt. 73 cms."
71880,71880,59900,215953,215953,5,5,"ESCRITORIO "PAU" NEGRO",5,100,"Escritorios",http://www.mueblessur.cl/308-2082-thickbox/escritoriopauestrucmetalicacubvidrionegro.jpg,http://www.mueblessur.cl/308-2082-thickbox/escritoriopauestrucmetalicacubvidrionegro.jpg,http://www.mueblessur.cl/308-2082-thickbox/escritoriopauestrucmetalicacubvidrionegro.jpg,,1,IVA,4,"Cubierta de vidrio templado color negro, estructura metalica color negro.<br><br>Medidas: 110 x 60 x alt. 73 cms.","Cubierta de vidrio templado color negro, estructura metalica color negro.<br><br>Medidas: 110 x 60 x alt. 73 cms."
436885,436885,379900,210872,210872,5,5,"ESCRITORIO "PRESIDENTE" 170 X 80 CM NATURAL",5,100,"Escritorios",http://www.mueblessur.cl/5064-2084-thickbox/escritoriopresidentexcmscajoncoigue.jpg,http://www.mueblessur.cl/5064-2084-thickbox/escritoriopresidentexcmscajoncoigue.jpg,http://www.mueblessur.cl/5064-2084-thickbox/escritoriopresidentexcmscajoncoigue.jpg,,1,IVA,4,"Fabricado en tableros de madera aglomerada, terminación natural, cubierta tapizada en cuerina.<br><br>Medidas: 170 x prof. 80 x alt. 74 cms.<br><br>*Precio no incluye accesorios.","Fabricado en tableros de madera aglomerada, terminación natural, cubierta tapizada en cuerina.<br><br>Medidas: 170 x prof. 80 x alt. 74 cms.<br><br>*Precio no incluye accesorios."
436885,436885,379900,211897,211897,5,5,"ESCRITORIO "PRESIDENTE" 170 X 80 CM WENGE",5,100,"Escritorios",http://www.mueblessur.cl/5425-2086-thickbox/escritoriopresidentexcmscajoncoigue.jpg,http://www.mueblessur.cl/5425-2086-thickbox/escritoriopresidentexcmscajoncoigue.jpg,http://www.mueblessur.cl/5425-2086-thickbox/escritoriopresidentexcmscajoncoigue.jpg,,1,IVA,4,"Fabricado en tableros de madera aglomerada, terminación wenge, cubierta tapizada en cuerina.<br><br>Medidas: 170 x prof. 80 x alt. 74 cms.","Fabricado en tableros de madera aglomerada, terminación wenge, cubierta tapizada en cuerina.<br><br>Medidas: 170 x prof. 80 x alt. 74 cms."
160885,160885,139900,214941,214941,5,5,"ESCRITORIO "MOLLY"",5,100,"Escritorios",http://www.mueblessur.cl/304-2079-thickbox/escritoriomollycubvidrionegroxestuctcr.jpg,http://www.mueblessur.cl/304-2079-thickbox/escritoriomollycubvidrionegroxestuctcr.jpg,http://www.mueblessur.cl/304-2079-thickbox/escritoriomollycubvidrionegroxestuctcr.jpg,,1,IVA,4,"Cubierta de vidrio templado 8 mm de espesor en color negro, estructura y patas de acero cromado, tubos de 20 x 40 mm.<br><br>Medidas: 120 x 70 x alt. 76 cms.","Cubierta de vidrio templado 8 mm de espesor en color negro, estructura y patas de acero cromado, tubos de 20 x 40 mm.<br><br>Medidas: 120 x 70 x alt. 76 cms."
160885,160885,139900,216850,216850,5,5,"ESCRITORIO "DUD" TRANSPARENTE",5,100,"Escritorios",http://www.mueblessur.cl/5385-2110-thickbox/escritoriodudxcmvidriommtransparente.jpg,http://www.mueblessur.cl/5385-2110-thickbox/escritoriodudxcmvidriommtransparente.jpg,http://www.mueblessur.cl/5385-2110-thickbox/escritoriodudxcmvidriommtransparente.jpg,,1,IVA,4,"Cubierta de vidrio templado de 8 mm de espesor, patas metal<br> pintadas color negro opaco.<br><br>Medidas: 150 x prof. 80 x alt. 76 cms.<br><br>Disponible solo en tiendas.","Cubierta de vidrio templado de 8 mm de espesor, patas metal<br> pintadas color negro opaco.<br><br>Medidas: 150 x prof. 80 x alt. 76 cms.<br><br>Disponible solo en tiendas."
56125,56125,44900,206246,206246,5,5,"CABALLETE "PLEGABLE PLANO" NATURAL",5,100,"Escritorios",http://www.mueblessur.cl/221-2106-thickbox/caballeteplegableplanocvroblenat.jpg,http://www.mueblessur.cl/221-2106-thickbox/caballeteplegableplanocvroblenat.jpg,http://www.mueblessur.cl/221-2106-thickbox/caballeteplegableplanocvroblenat.jpg,,1,IVA,4,"Estructura de roble natural con sistema de bisagras y ensamble.","Estructura de roble natural con sistema de bisagras y ensamble."
56125,56125,44900,212651,212651,5,5,"CABALLETE "PLEGABLE PLANO" WENGE",5,100,"Escritorios",http://www.mueblessur.cl/122-2107-thickbox/caballeteplegableplanocvroblewenge.jpg,http://www.mueblessur.cl/122-2107-thickbox/caballeteplegableplanocvroblewenge.jpg,http://www.mueblessur.cl/122-2107-thickbox/caballeteplegableplanocvroblewenge.jpg,,1,IVA,4,"Estructura de roble wenge natural con sistema de bisagras y ensamble.<br><br>Consultar Disponibilidad.","Estructura de roble wenge natural con sistema de bisagras y ensamble.<br><br>Consultar Disponibilidad."
49875,49875,39900,208001,208001,5,5,"CABALLETE "CROMADO" NACIONAL",5,100,"Escritorios",http://www.mueblessur.cl/220-2089-thickbox/caballetecromadonacional.jpg,http://www.mueblessur.cl/220-2089-thickbox/caballetecromadonacional.jpg,http://www.mueblessur.cl/220-2089-thickbox/caballetecromadonacional.jpg,,1,IVA,4,"Acero, alambre trefilado, pulido de 8 mm, recubierto cromado.","Acero, alambre trefilado, pulido de 8 mm, recubierto cromado."
143635,143635,124900,217188,217188,5,5,"ESCRITORIO OFICINA "LAZARO"",5,100,"Escritorios",http://www.mueblessur.cl/7046-2081-thickbox/escritoriooficinalazaroxcmcubmdfblanca.jpg,http://www.mueblessur.cl/7046-2081-thickbox/escritoriooficinalazaroxcmcubmdfblanca.jpg,http://www.mueblessur.cl/7046-2081-thickbox/escritoriooficinalazaroxcmcubmdfblanca.jpg,,1,IVA,4,"Cubierta MDF lacado blanco mate, patas metálicas pintadas blanca.<br><br>Tamaño tubo 20 x 40 mm.<br><br>Medidas: 120 x 60 x alt. 76 cms.","Cubierta MDF lacado blanco mate, patas metálicas pintadas blanca.<br><br>Tamaño tubo 20 x 40 mm.<br><br>Medidas: 120 x 60 x alt. 76 cms."
